STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Charles-Biddle / Atwater,Le Sud-Ouest,45.4791373810011,-73.5751497745514,de la Commune / King,Ville-Marie,45.4975037533838,-73.5528445243835,1745246847356,1745249416347
St-Dominique / Gounod,Villeray—Saint-Michel—Parc-Extension,45.5385915732697,-73.6277800798416,Rousselot / Jarry,Villeray—Saint-Michel—Parc-Extension,45.5508197921185,-73.6208868026733,1745235820291,1745236282750
Turgeon / Notre-Dame,Le Sud-Ouest,45.4788885280721,-73.5819894075394,Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.4730231835101,-73.5850372210916,1745246917091,1745247136260
Ottawa / Young,Le Sud-Ouest,45.4937090532742,-73.5597785469326,de Maisonneuve / Mansfield (sud-est),Ville-Marie,45.5022934941626,-73.5733064264059,1745242467541,1745242965032
Brébeuf / Curé-Poirier,Longueuil,45.5268833083414,-73.483393257502,,,,,1745249017238,
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,45.5364039651641,-73.5714134573937,Rivard / du Mont-Royal,Le Plateau-Mont-Royal,45.5245589565321,-73.5826331377029,1745253413356,1745253824670
St-Jacques / Vinet,Le Sud-Ouest,45.4853289939984,-73.5769227147102,Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.4829581614922,-73.5797583685417,1745242731522,1745242856676
Garnier / Villeray,Villeray—Saint-Michel—Parc-Extension,45.5494800451944,-73.6160547148938,Parc Nicolas-Tillemont (des Érables / Villeray),Villeray—Saint-Michel—Parc-Extension,45.554636533586,-73.6125521577196,1745253277993,1745253614707
Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),Ville-Marie,45.5140122264578,-73.5659866780043,Prince-Arthur / Ste-Famille,Le Plateau-Mont-Royal,45.5116701671062,-73.5746347904205,1745255472867,1745256047782
Métro Lasalle (de Rushbrooke / Caisse),Verdun,45.4707265982564,-73.5654690489901,Hickson / Wellington,Verdun,45.464826206909,-73.5671246051788,1745251472931,1745253155989
des Pins / Hutchison,Le Plateau-Mont-Royal,45.5107769410202,-73.5782500728965,du Square Saint-Louis / Laval,Le Plateau-Mont-Royal,45.5160865242307,-73.570156325477,1745253077752,1745253410175
Métro Lasalle (de Rushbrooke / Caisse),Verdun,45.4707265982564,-73.5654690489901,Parc des Rapides (LaSalle / 6e avenue),LaSalle,45.4294714374089,-73.5930991591886,1745252822717,1745254368176
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.5322179114747,-73.575431406498,de la Commune / King,Ville-Marie,45.4975037533838,-73.5528445243835,1745254970882,1745256282529
